,,,,,,,,,,,,,,,,,,,,,
,19/Nov/2021,20/Nov/2021,21/Nov/2021,22/Nov/2021,23/Nov/2021,24/Nov/2021,25/Nov/2021,26/Nov/2021,27/Nov/2021,28/Nov/2021,29/Nov/2021,30/Nov/2021,01/Dic/2021,02/Dic/2021,03/Dic/2021,04/Dic/2021,05/Dic/2021,06/Dic/2021,07/Dic/2021,08/Dic/2021,09/Dic/2021
Energy,36,1333,1368,1843,1743,1982,2117,1675,1631,1669,2334,2309,2478,2810,2273,1968,1692,2975,3099,3441,2387
Oil  & Gas,59,1526,1505,1802,1900,2059,2185,2478,1648,1709,2134,2285,2345,2892,2774,2015,1777,2450,3281,3152,2617
Mining,81,1714,1530,2162,2291,2336,2234,2878,1780,1717,2248,2789,2872,2916,3524,2121,1712,3025,3621,3875,3164
Health,52,1747,1650,2464,2385,2565,2394,2193,1779,1678,2486,2716,2668,3325,3172,2105,1969,2986,3783,3197,3401
Automotive,54,1468,1367,1762,1769,2440,2199,1838,1456,1492,2096,2122,2368,2337,2188,1844,1585,2379,3155,2801,2437
Aerospace,24,727,728,909,893,873,1000,854,786,769,925,1098,1108,1178,1168,909,819,1127,1713,1224,1078
Infrastructure,17,800,693,1054,955,1117,1124,884,804,776,928,1056,942,1098,1085,931,749,1280,1592,1346,1208
Tech,16,594,515,696,807,956,692,791,628,585,948,982,808,763,1006,501,640,812,1254,830,779
Entrepreneurs,7,806,743,928,899,1070,980,1128,506,460,817,1150,1055,617,1142,338,435,612,974,897,959
Professional Services,6,206,222,248,269,281,274,325,249,247,290,364,375,337,261,301,259,549,703,670,512
Finance,20,449,462,732,639,692,667,808,552,567,907,957,808,823,695,552,579,785,1111,929,1168
Logistics,8,213,234,245,269,237,347,313,256,243,312,374,400,419,375,245,223,352,501,343,324
Ecommerce,7,230,257,279,416,413,346,253,256,252,321,328,283,281,275,213,201,300,400,298,253
Digital Transformation,2,93,92,105,130,261,181,132,145,107,157,138,128,122,179,113,134,177,187,142,160
Agribusiness,16,306,303,2377,367,407,434,469,374,328,452,584,596,685,563,358,442,519,696,501,648
Talent,17,486,445,694,1272,742,704,884,626,587,886,891,646,738,730,473,509,727,957,586,763
Mobility,7,169,161,234,197,204,290,325,215,216,295,296,269,285,235,174,175,237,271,311,381
Trade & Investment,7,200,169,277,218,238,251,293,232,198,240,308,303,240,296,200,228,380,551,495,424
Policy & Economy,13,362,378,595,546,583,529,449,542,414,724,547,597,747,716,581,525,806,885,735,707
