,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Energy,5639,4580,9820,5075,6110,7874,5918,7334,9552,6363,6182,3284
Oil  & Gas,5287,6967,6536,5482,4913,5944,12076,6962,7622,6129,7326,1539
Mining,6303,8813,6654,8860,6655,8293,5920,6749,5285,5180,5717,3623
Health,8999,7073,7500,6572,6596,7261,7157,6573,10783,9266,9846,3471
Automotive,4884,4362,6526,4997,4618,4950,3733,3936,5001,4911,5070,1824
Aerospace,1822,1350,1464,1480,2473,3260,3755,2370,2399,1902,1708,780
Infrastructure,2551,2850,2295,1848,2529,2466,2733,2587,2485,2392,3350,854
Tech,3387,3309,2329,2048,2544,3174,2418,2556,2518,2659,2851,1233
Entrepreneurs,4033,3493,4084,2477,4044,3238,2028,4646,4380,3515,3753,1404
Professional Services,1288,1631,1624,978,772,1599,1417,1327,821,572,438,498
Finance,1401,2131,1525,1190,1413,1679,1340,1339,1496,2031,2952,829
Logistics,771,620,746,620,718,841,1144,444,624,1262,635,246
Ecommerce,912,1109,1076,883,1062,1257,817,639,721,590,909,208
Digital Transformation,133,270,346,489,561,585,296,150,148,138,526,106
Agribusiness,949,1478,946,941,928,1366,939,1313,1096,967,950,463
Talent,730,444,1005,702,1051,1227,897,763,969,4154,2704,619
Mobility,561,306,362,313,334,441,291,279,255,372,761,360
Trade & Investment,1784,979,1076,989,1357,1548,1162,1188,894,1458,994,644
Policy & Economy,1251,1720,1509,1396,1367,2157,1379,1302,1550,1329,1097,649
